text,label
언니 화면멈췄어,0
디피씨 박제요????,0
철팽씨가 저를 카트로 암살했어유..(?),0
타우러스 몇센치 옆에 맞아놓고,0
팀버그가,0
제가 부사령관 으로 어제 임명했는데,0
작업대에 보면 타락 된건 바알 오브랑 같이써서 바를순있음,0
ユ 사람도,0
바르진 않지,0
진짜 저희한번,0
줄였네,0
수몽이는 공중부양해서자나봄,0
댄디 헤이터,0
다행이다 뽀록날일없고',0
넌 갑자기 왜 영어를 쓰는거야,0
근까 망고지,0
ㅇㅋ 여기까지,0
좋게 말하면 자연스럽게,0
/진짜;;,0
자앵인시내사자래긴애,0
원활하게,0
대물중이 아니라...,0
깡 e가,0
어떤 플랫폼이든,0
얜머라냐,0
39채널이야,0
저희가 지금 감사원이 없어서,0
자러갈개요..,0
kr_used,0
그분 기다리시는중인데 스파이 검사 언제함?,0
사과+금이라,0
7시는 취임식아니였습니까?,0
나 진짜 보내주려고햇는데,0
그정도 있어서 괜찮음,0
진짜를 만나버린 친구... 부럽다,0
이걸 복붙하려던게,0
딜교 압승중인듯,0
무슨원챔이요,0
프레임 왜 7까지 떨어지나 했는데,0
병원!,0
사실 1라에 3개가고 2라에 2개가긴 했어요,0
꼬우면 클전,0
그렇ㅈㅛ,0
그녀석  메운디150라갔다고자랑중,0
실2에서 이단승급해서 골1됨,0
난 먹으면 위로 크니 상관없는데,0
꼼수가 있는지도 몰랐는데,0
내일까지 고민해봄,0
+ z키,0
-# 경험치 채굴중입니다.. 해당메세지를 무시해주세요. 투리에게 디엠하시면 경험치 퍼드립니다 :) 1247959509201326190 7621,0
zzㅋㅋㅋㅋㅋㄲㄲㅋㅋ,0
버프하자,0
미라지로 이제,0
ivan and till loves each other trust me,0
이걸 신고할수도없고,0
갑자기오시네,0
중대사항임,0
~진짜 만드는중~~,0
나서스 붐은 왔다..,0
뭐하러갱생시켜ㅋㅋㅋㅋㅋㅋ,0
동동 서정 동성 동균 수지 시웅 뀨뀨 윤정 라데 한정 춘향 멍뭉  9시반까지 5돌룰 30킬 3천원,0
롱쟝의 육성 호에,0
할수있는수준,0
빤거 봐,0
플장이면,0
예전+지금하니깐,0
저거 냇뚜면 클일남,0
…증거..! 증거는 있는거니?,0
난 태어났을 때부터,0
블루밍이 최고,0
<@1132929522690445342> 했습니다.,0
저거어케나오게하냐..,0
채도 낮은거 좋아하나봐여,0
그게 무슨 말이니 은냥은냥아,0
내가 뽑지 마라니깐,0
자랑질함,0
ㅍ ㅔ ㄱ ㅣ ㅅ ㅏ ㅁ ㅏ   ㅇ         ㅜ                ㅇ                ㄴ,0
납치 당할뜻,0
니가 노는 지인계랑 광성 애들은,0
자유의 영혼이 되고싶은데,0
참여하지 말아주세요…,0
ㅂㅂ이 욕설 중에 무슨뜻이 있지,0
꼰대 - 탱크 지휘자  리겐 - 군인 or 밀수꾼 쿼트 - 공무원,0
난 원래 여기섭 보안 가려고햇어,0
빠륺,0
신화엿는데,0
여장 해서 소개팅하는게 별로라는 거임,0
아주 좋은것,0
아카자 셋으로 3티 디바 검 가능 한가요?,0
ㅇㅇ제발ㄹ,0
😭 ㅠㅠㅠㅠㅠㅠ,0
크시야 박씨,0
복도애,0
진짜두툼하긴하네,0
욕 못쓰니까,0
근데 마법들 원리도 궁금하고 너무 궁금함요,0
뭔가 좀 불안해서,0
인텔 1대1,0
주방일,0
이굴욕을,0
진짜 큰일났네,0
진도가 왜 빠름?,0
!출첵 철없을적 내기 추억속에 비행기 타고가요 사람들이 8월달 휴가가 시작됨,0
챌지망생#kr1,0
<@1073047292183056414> 내가 구라 까는거 같으면 증거로 내가 위에서 부터 채팅 쳤던거 보고오셈,0
오늘 구름 짱예뻤어,0
크루 브섭도 있고,0
니얼굴 설랑딩설랑딩 아르라키키호쿠 뽕뽕 르쌍쫑임;,0
닐은,0
4.0에도 게이는 있으니까 그냥 거르고 폰타인 ㄱㄱ,0
계엄령때 지상b에,0
드리블 웃기네,0
폰이십니까,0
입양 뭐하능겜임,0
간다브로,0
아냐 그래도 세븐틴 구성을 이길순 읎어!,0
일단 써주세요,0
184억입니다.,0
벛꽃이 나 한번 갱크쳐서,0
누가 불러서 갔다왔는데,0
일진같이,0
미역국에 찹살떡 이요(?),0
왜 저 막으려다가,0
수목토,0
여기 사람들 이미 네더라이트 하고 있숴..,0
좋으니까 덕질을 하는거라니까?,0
ㅁ 페이튼이야,0
최근???,0
대안학교여서 검정고시,0
이거는 안하고싶네요,0
그거 마법템사면,0
이제 앰부쉬 나와야한다,0
저 목소리 들으면서 잘게요,0
ㅏ아앛아아아아앙\ㅇㅇ,0
여동생 ㅎㄷㄷ,0
헉 진짜요??,0
우왕 축하 잘 드리셨나여:)ㅎㅎ,0
ㅁㅈㅅ 봄봄봄,0
슘!!!,0
난 나이 속인적 없움,0
연락하지마 죽여버린다,0
이분 뭐하는 분임 태클을 왜걸어 일반인한테,0
무열 같이하실,0
학업에 집중 안하겠습니다,0
쫀눼먼데,0
할망ㅇ로 떡2개 추가로 팔수 있?,0
일단 기본적인,0
미베는좀맞아야겟찌????,0
아뇨 라시아 퀘가 미완성 퀘스트라 플레이가 불가합니다,0
서버 닫힌상황인가요?,0
로지텍 장패드가,0
니는근데,0
거치대 언박슁~,0
헤일리랑 결혼 하렴,0
잠만보해,0
참고로 모브는 울트라 옵,0
<>   돌아왔냐고 박태식이,0
당신 대전에 살잖아여!,0
ㅌ ㅌ ㅌ ㅌ ㅌ. ㅌㅌㅌㅌ,0
이왕 이렇게 된거 브론즈 4 켠왕 ㄱㄱ,0
다들 열심히 메랜허시넹,0
date즐기시고 오십시요,0
저는 물랐어여,0
방치하면 1자될거같음,0
본명부르고 그렇게말하는거면,0
애니. 보시나요,0
베르게이가 처맞는 물질적 증거,0
퍼리빔을 맞을것입니다,0
이 신내림을 막기엔 이젠 콜라 속도 참 좁다,0
두이야 나 66퍼인데 왜 안오르냐,0
와리패죽이기 ㄱㄱ,0
무제가능.,0
악동이 내가,0
내일 못 돌아와요,0
멜홍,0
머더가 안나옴,0
빼빼로로 대체혀,0
믿고 있었음,0
각 노선에,0
골4였으면,0
f가 바람소리인데,0
뷔지,0
1교시 곧있음 끝나쥬~,0
<@749298006200811570> 크로스길드가 용환콩님보고 아시안 글로벌 탑 1위라 함 ㅇㅇ,0
너무 꽉찬 샌드위치보단,0
나물김밥 빼고는 별로인듯...갈비찜은 다 익지 않아서 당근 무 허옇고 떡도 양념도 안 버물여져있고 전으로 만든 국은 고춧가루가 들어가야 얼큰할텐데 청양고추만 들어있다니 .....,0
돌프빵댕이,0
들어오자마자 개시끄럽네,0
1시간이상 걸립니다,0
마이크올땜가지자,0
아 잘못봣어여,0
단비 이 시간에 ㅜ해,0
치안좋은곳이,0
쵸산테,0
여기 안되면 갠디로 가시조ㅡ 선생님,0
아냐 나 해킹 당해도 하나만 뚤릴려고 비번 다 달라 ㅋㅋ,0
개인음성방이,0
줄려주심,0
그래도 조선사람이시기도,0
진짜 흠,0
할맘이안생김,0
그냥 은행가서 번호쓰고 돈넣으면됌,0
빨리들와서,0
그떄까지?,0
291 금방 모으지 않나,0
사람 모으셈,0
바보들,0
브라질 fc임,0
좋을거같은덷,0
이거 핸들링이,0
님은 또 여기계시네ㄷㄷ,0
니 계정 쓸수있음,0
그거는@ct,0
신나래쌤임,0
활이랑 쌍검들면,0
혜못알들 밖에 없구만..,0
@팟궆,0
마멜은 망해도 상관없는게,0
인증해 빨리,0
루비는 '연기력 부족 배우가 되는 건 아이돌로서 톱에 군림한 이후라는 떡밥 텐도지 마리나 등'과 같은 이유로 이 영화에서는 아예 하차를 하게 될 가능성이 높다.,0
누구한테 보내면 되는거죠,0
탄압하다가,0
12월 13일에,0
워타 하실분,0
정보를 아주,0
역시 찐 아재는 못 따라가겠네여,0
볼만 해유,0
한때는,0
후보 자격,0
바이퍼 뚫을수있나,0
손흥민이랑 싸워서인데,0
제 엄마지인의말을빌리면,0
좀 가능할지도,0
한국성우는 토마성우랑 동일하고,0
뭐더볼거있나,0
